Altium Designer Pick and Place Locations
C:\Users\User\Desktop\PROJEKTI\120W_DC_SUPPLY\120W_PSU_LM25148\LM25148\Project Outputs for LM25148\Pick Place for LM25148(Only Populated Components).csv

========================================================================================================================
File Design Information:

Date:       03.08.25
Time:       20:19
Revision:   681a22b900e06c1f153e06c78e1c8b908dedef15
Variant:    Only Populated Components
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"Q1","IAUC80N04S6L032ATMA1","TopLayer","PG-TDSON-8-33","5.48x5.15","41.7830","18.2475","0","N-Channel 40 V 80A (Tc) 50W (Tc) Surface Mount PG-TDSON-8","0.0000","41.7830","18.3600","42.4180","15.0150","Fitted"
"L2","10uH","TopLayer","INDP135126X65N","Precision Wire Wound Inductor, 2-Leads, Body 13.50x12.60mm, IPC Medium Density","29.9720","12.7000","180","FIXED IND 10UH 11A 15.8 MOHM SMD","6.5000","29.9720","12.7000","35.7220","12.7000","Fitted"
"C33","2.2uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","53.8480","7.4040","270","8 pF ±0.05pF 25V Ceramic Capacitor C0G, NP0 01005 (0402 Metric)","0.8000","53.8480","7.4040","53.8480","8.2040","Fitted"
"C14","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","66.0400","19.7380","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","66.0400","19.7380","66.0400","18.2880","Fitted"
"C9","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","80.7720","19.8120","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","80.7720","19.8120","80.7720","18.3620","Fitted"
"L1","2.2uH","TopLayer","IHLP-3232DZ-51","Precision Wire Wound Inductor, 2-Leads, Body 8.64x8.81mm, IPC Medium Density","73.4060","21.5900","180","FIXED IND 2.2UH 11.5A 12.5 MOHM","4.0000","73.4060","21.5900","77.0310","21.5900","Fitted"
"TP17","Test point","TopLayer","TestPoint","1mm","60.7060","11.1760","90","Test point 1mm","0.0000","60.7060","11.1760","60.7060","11.1760","Fitted"
"TP16","Test point","TopLayer","TestPoint","1mm","53.3908","9.3472","90","Test point 1mm","0.0000","53.3908","9.3472","53.3908","9.3472","Fitted"
"TP13","Test point","TopLayer","TestPoint","1mm","54.6100","16.5100","90","Test point 1mm","0.0000","54.6100","16.5100","54.6100","16.5100","Fitted"
"TP11","Test point","TopLayer","TestPoint","1mm","21.3360","12.7000","90","Test point 1mm","0.0000","21.3360","12.7000","21.3360","12.7000","Fitted"
